"situation","total_plays","rush_plays","rush_rate","rush_success","rush_epa","conversion_rate","avg_yards","team"
"Short Yardage (3rd/4th & ≤2)",79,43,0.544303797468354,0.813953488372093,0.226744278115467,0.620253164556962,2.41860465116279,"Miami"
"Winning Late (Q4, +1-14)",75,31,0.413333333333333,0.419354838709677,-0.132036299239294,0.346666666666667,3.41935483870968,"Miami"
"Clock Killing (Q4, +7+)",186,84,0.451612903225806,0.464285714285714,-0.159318378542494,0.387096774193548,4.17857142857143,"Miami"
"Goal Line (Inside 5)",34,21,0.61764705882353,0.80952380952381,0.890573222489854,0.5,2.42857142857143,"Miami"
"2nd & Short (≤3)",56,38,0.678571428571429,0.710526315789474,-0.0220160303000242,0.625,3.73684210526316,"Miami"
"Short Yardage (3rd/4th & ≤2)",77,49,0.636363636363636,0.73469387755102,0.392871829020185,0.623376623376623,2.14285714285714,"Ohio State"
"Winning Late (Q4, +1-14)",36,18,0.5,0.333333333333333,-0.297227185541316,0.25,3.33333333333333,"Ohio State"
"Clock Killing (Q4, +7+)",196,123,0.627551020408163,0.51219512195122,0.0628062208790072,0.459183673469388,5.76422764227642,"Ohio State"
"Goal Line (Inside 5)",43,23,0.534883720930233,0.521739130434783,0.233176499368802,0.255813953488372,1.34782608695652,"Ohio State"
"2nd & Short (≤3)",67,39,0.582089552238806,0.615384615384615,-0.136314280957802,0.626865671641791,4.28205128205128,"Ohio State"
