"Metric","Value","Percentile","Category","Team"
"Offense_EPA_per_Pass_season_avg",0.2003,82.3,"Offense","Miami"
"Offense_Success_Rate_season_avg",0.477,88.7,"Offense","Miami"
"Offense_Rush_Success_Rate_season_avg",0.4637,80.1,"Offense","Miami"
"Offense_Pass_Success_Rate_season_avg",0.4899,90,"Offense","Miami"
"Offense_3rd_Down_Success_season_avg",0.4646,84.9,"Offense","Miami"
"Offense_Standard_Down_EPA_season_avg",0.082,72.7,"Offense","Miami"
"Offense_1st_Down_Success_season_avg",0.4673,82.3,"Offense","Miami"
"Offense_2nd_Down_Success_season_avg",0.4911,88.7,"Offense","Miami"
"Offense_Scoring_Drive_Pct_season_avg",0.4892,80.7,"Offense","Miami"
"Defense_EPA_per_Play_season_avg",-0.0881,10,"Defense","Miami"
"Defense_EPA_per_Pass_season_avg",-0.1752,10.3,"Defense","Miami"
"Defense_Success_Rate_season_avg",0.3459,5.5,"Defense","Miami"
"Defense_Rush_Success_Rate_season_avg",0.3563,11.6,"Defense","Miami"
"Defense_Pass_Success_Rate_season_avg",0.3349,8.7,"Defense","Miami"
"Defense_Explosive_Rate_season_avg",0.0567,20.6,"Defense","Miami"
"Defense_3rd_Down_Success_season_avg",0.3029,8.4,"Defense","Miami"
"sack_pct_season_avg",0.1045,96.8,"Special","Miami"
"Offense_EPA_per_Play_season_avg",0.202,91.3,"Offense","Ohio State"
"Offense_EPA_per_Pass_season_avg",0.3982,96.1,"Offense","Ohio State"
"Offense_Success_Rate_season_avg",0.5355,98.7,"Offense","Ohio State"
"Offense_Rush_Success_Rate_season_avg",0.485,90.7,"Offense","Ohio State"
"Offense_Pass_Success_Rate_season_avg",0.5921,99.4,"Offense","Ohio State"
"Offense_3rd_Down_Success_season_avg",0.5557,99,"Offense","Ohio State"
"Offense_Standard_Down_EPA_season_avg",0.1267,87.1,"Offense","Ohio State"
"Offense_Passing_Down_EPA_season_avg",0.2873,92,"Offense","Ohio State"
"Offense_1st_Down_Success_season_avg",0.527,96.1,"Offense","Ohio State"
"Offense_2nd_Down_Success_season_avg",0.5249,97.1,"Offense","Ohio State"
"Offense_Scoring_Drive_Pct_season_avg",0.5832,97.1,"Offense","Ohio State"
"Defense_EPA_per_Play_season_avg",-0.1383,5.8,"Defense","Ohio State"
"Defense_EPA_per_Rush_season_avg",-0.1508,5.8,"Defense","Ohio State"
"Defense_EPA_per_Pass_season_avg",-0.1373,13.2,"Defense","Ohio State"
"Defense_Success_Rate_season_avg",0.3471,5.8,"Defense","Ohio State"
"Defense_Rush_Success_Rate_season_avg",0.3316,4.8,"Defense","Ohio State"
"Defense_Pass_Success_Rate_season_avg",0.3613,17.4,"Defense","Ohio State"
"Defense_Explosive_Rate_season_avg",0.0402,2.6,"Defense","Ohio State"
"Defense_3rd_Down_Success_season_avg",0.2856,5.5,"Defense","Ohio State"
"Defense_RedZone_TD_Rate_season_avg",0.1859,29.6,"Defense","Ohio State"
"sack_pct_season_avg",0.1099,97.4,"Special","Ohio State"
