"Metric","Season_Avg","Last_3_Avg","Last_5_Avg","Trend_3","Trend_5","Direction","Team"
"Offense_EPA_per_Play",0.0858,0.0655,0.0533,-0.0203,-0.0325,"DECLINING","Miami"
"Defense_EPA_per_Play",-0.0881,0.0112,-0.0487,0.0993,0.0394,"DECLINING","Miami"
"Offense_EPA_per_Rush",-0.0178,-0.0868,-0.1042,-0.069,-0.0864,"DECLINING","Miami"
"Defense_EPA_per_Rush",0.0097,0.1909,0.1898,0.1812,0.1801,"DECLINING","Miami"
"Offense_EPA_per_Pass",0.2003,0.1983,0.2055,-0.0019,0.0053,"STABLE","Miami"
"Defense_EPA_per_Pass",-0.1752,-0.1283,-0.2496,0.047,-0.0744,"DECLINING","Miami"
"Offense_Success_Rate",0.477,0.4419,0.4502,-0.0351,-0.0268,"DECLINING","Miami"
"Defense_Success_Rate",0.3459,0.3691,0.3346,0.0232,-0.0114,"DECLINING","Miami"
"Offense_Explosive_Rate",0.0671,0.0648,0.0761,-0.0023,0.009,"STABLE","Miami"
"Defense_Explosive_Rate",0.0567,0.0635,0.055,0.0068,-0.0017,"STABLE","Miami"
"Offense_3rd_Down_Success",0.4646,0.4128,0.4144,-0.0518,-0.0503,"DECLINING","Miami"
"Defense_3rd_Down_Success",0.3029,0.3618,0.3516,0.059,0.0488,"DECLINING","Miami"
"turnover_margin",NA,NA,NA,NA,NA,NA,"Miami"
"sack_pct",0.1045,0.1682,0.1576,0.0636,0.053,"IMPROVING","Miami"
"sack_pct_allowed",0.0354,0.0526,0.0536,0.0172,0.0183,"STABLE","Miami"
"Offense_Scoring_Drive_Pct",0.4892,0.4874,0.4848,-0.0019,-0.0044,"STABLE","Miami"
"Defense_Scoring_Drive_Pct",0.274,0.2606,0.2564,-0.0134,-0.0176,"STABLE","Miami"
"Offense_RedZone_TD_Rate",0.2359,0.5778,0.3467,0.3419,0.1108,"IMPROVING","Miami"
"Defense_RedZone_TD_Rate",0.4359,0,0.2667,-0.4359,-0.1692,"IMPROVING","Miami"
"Offense_EPA_per_Play",0.202,0.0963,0.1349,-0.1057,-0.067,"DECLINING","Ohio State"
"Defense_EPA_per_Play",-0.1383,-0.1555,-0.0915,-0.0172,0.0468,"STABLE","Ohio State"
"Offense_EPA_per_Rush",0.0331,-0.0607,0.0498,-0.0938,0.0167,"DECLINING","Ohio State"
"Defense_EPA_per_Rush",-0.1508,-0.2343,-0.2207,-0.0835,-0.0699,"IMPROVING","Ohio State"
"Offense_EPA_per_Pass",0.3982,0.3254,0.266,-0.0729,-0.1322,"DECLINING","Ohio State"
"Defense_EPA_per_Pass",-0.1373,-0.0596,0.0611,0.0777,0.1984,"DECLINING","Ohio State"
"Offense_Success_Rate",0.5355,0.4635,0.504,-0.072,-0.0315,"DECLINING","Ohio State"
"Defense_Success_Rate",0.3471,0.3272,0.3448,-0.0199,-0.0023,"STABLE","Ohio State"
"Offense_Explosive_Rate",0.0683,0.0819,0.0712,0.0136,0.0029,"STABLE","Ohio State"
"Defense_Explosive_Rate",0.0402,0.0562,0.0512,0.0161,0.011,"STABLE","Ohio State"
"Offense_3rd_Down_Success",0.5557,0.5036,0.5497,-0.0521,-0.006,"DECLINING","Ohio State"
"Defense_3rd_Down_Success",0.2856,0.3099,0.3295,0.0243,0.0439,"DECLINING","Ohio State"
"turnover_margin",NA,NA,NA,NA,NA,NA,"Ohio State"
"sack_pct",0.1099,0.1287,0.0772,0.0187,-0.0327,"STABLE","Ohio State"
"sack_pct_allowed",0.0267,0.0556,0.0513,0.0288,0.0246,"IMPROVING","Ohio State"
"Offense_Scoring_Drive_Pct",0.5832,0.4411,0.5758,-0.1422,-0.0075,"DECLINING","Ohio State"
"Defense_Scoring_Drive_Pct",0.2918,0.3593,0.4606,0.0675,0.1688,"DECLINING","Ohio State"
"Offense_RedZone_TD_Rate",0.2987,0.2222,0.2533,-0.0765,-0.0454,"DECLINING","Ohio State"
"Defense_RedZone_TD_Rate",0.1859,0.4167,0.35,0.2308,0.1641,"DECLINING","Ohio State"
